dataset,model,F-statistic,p-value
breast_cancer,elastic_net,2.260052594659315,0.11784362063899677
breast_cancer,gradient_boosting,,
breast_cancer,xgboost,,
breast_cancer,random_forest,2.525440087429173,0.09303477762645533
iris,elastic_net,2.4375,0.100583284286209
iris,gradient_boosting,,
iris,random_forest,,
iris,xgboost,,
california_housing,elastic_net,3.807259716277521,0.03087423584114066
wine,elastic_net,6.572183138063212,0.0034690907360489893
wine,gradient_boosting,,
wine,random_forest,5.393617021276594,0.008549856925913056
wine,xgboost,,
digits,elastic_net,3.758095820332624,0.03217206154304295
digits,random_forest,25.977815699659455,6.738803198910675e-08
digits,gradient_boosting,,
digits,xgboost,0.9999999999999997,0.37711571540880323
diabetes,elastic_net,6.243087643547728,0.004444189140319026
diabetes,random_forest,23.186428904404604,2.3175192922099312e-07
diabetes,gradient_boosting,5.936963693731876,0.005611799607170493
linnerud,elastic_net,1.4132323843377306,0.25554196935904994
auto_insurance,elastic_net,6.710310879444203,0.0031294467428784746
blood_transfusion,elastic_net,3.392480909566464,0.043819169084600054
blood_transfusion,gradient_boosting,1.404329063917033,0.25767267996097876
blood_transfusion,random_forest,19.99275453692262,1.0558084076303638e-06
blood_transfusion,xgboost,39.4975689362834,4.2112366940044724e-10
